"","village","temps_au_village","ethnie","niveau_etudes","activite_1","activite_2","activite_3","temps_chasseur","especes_chassees","chasse_fusil","temps_strategie_fusil","type_chasse_fusil","chasse_arcfleches","temps_strategie_arcfleches","type_chasse_arcfleches","chasse_machette","temps_strategie_machette","efficacite_strategie_machette","nombre_personnes_machette","temps_strategie_pieges","type_chasse_pieges","chasse_chiens","temps_strategie_chiens","type_chasse_chiens","Age"
"94",1,3,"nkundu","primaire","chasse","peche","agriculture",4,"petitsmoyensongules_grandsongules_sangliers","oui","nuit","individuelle","oui","journuit","collective","oui","jour",">50%",NA,"nuit","individuelle","non","","",23
"95",1,58,"nkundu","primaire","chasse","peche","autre",10,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs","oui","journuit","individuelle","oui","journuit","individuelle","oui","nuit","50%",NA,"","","non","","",58
"96",1,33,"nkundu","secondaire","chasse","peche","agriculture",15,"grandsongules_sangliers_petitsmoyensongules_pangolins_rongeurs","oui","journuit","individuelle","oui","journuit","individuelle","oui","journuit","50%",NA,"","","non","","",33
"97",1,33,"nkundu","secondaire","chasse","peche","agriculture",5,"petitsmoyensongules_grandsongules_sangliers_singes","non","","","oui","journuit","individuelle_collective","non","","",NA,"jour","individuelle","non","","",33
"98",5,25,"nkundu","secondaire","chasse","peche","agriculture",22,"petitsmoyensongules_grandsongules_sangliers","oui","journuit","individuelle","oui","journuit","individuelle","non","","",NA,"","","non","","",25
"99",2,63,"nkundu","secondaire","agriculture","peche","autre",15,"rongeurs_reptiles_oiseaux","non","","","non","","","oui","jour","50%",NA,"jour","individuelle","non","","",63
"100",2,15,"nkundu","secondaire","agriculture","chasse","peche",11,"reptiles_rongeurs_pangolins_singes_grandsongules_petitsmoyensongules","oui","journuit","collective","oui","journuit","individuelle","non","","",NA,"jour","individuelle","non","","",54
"101",2,63,"nkundu","secondaire","agriculture","chasse","autre",10,"rongeurs","non","","","non","","","non","","",NA,"jour","individuelle","non","","",63
"102",6,60,"nkundu","primaire","agriculture","chasse","autre",15,"autre","non","","","oui","jour","individuelle","oui","journuit","50%",NA,"jour","individuelle","non","","",60
"103",4,45,"nkundu","primaire","agriculture","chasse","autre",15,"autre","non","","","oui","journuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",45
"104",6,40,"nkundu","primaire","agriculture","chasse","autre",25,"autre_petitsmoyensongules_grandsongules","non","","","oui","journuit","individuelle_collective","non","","",NA,"jour","individuelle","oui","jour","individuelle_collective",23
"105",6,20,"nkundu","secondaire","commerce","chasse","agriculture",10,"rongeurs_autre","non","","","oui","jour","individuelle_collective","non","","",NA,"jour","individuelle","oui","jour","collective",20
"106",6,25,"nkundu","secondaire","peche","chasse","agriculture",20,"grandsongules_rongeurs_petitsmoyensongules","non","","","oui","journuit","individuelle","non","","",NA,"jour","individuelle","non","","",25
"107",6,50,"nkundu","primaire","autre","chasse","agriculture",30,"petitsmoyensongules_rongeurs_singes","oui","journuit","individuelle_collective","oui","nuit","individuelle","non","","",NA,"jour","individuelle","non","","",50
"108",4,4,"nkundu","primaire","chasse","peche","agriculture",15,"petitsmoyensongules_grandsongules_singes_rongeurs_autre","oui","journuit","individuelle","oui","nuit","collective","non","","",NA,"jour","individuelle","oui","jour","collective",23
"109",2,41,"nkundu","aucune","chasse","agriculture","autre",25,"petitsmoyensongules_grandsongules_sangliers_pangolins_rongeurs_reptiles_oiseaux_singes","non","","","oui","journuit","individuelle_collective","non","","",NA,"jour","individuelle_collective","non","","",41
"110",2,59,"nkundu","aucune","agriculture","chasse","autre",40,"grandsongules_petitsmoyensongules_singes_autre_rongeurs","non","","","oui","jour","individuelle","non","","",NA,"jour","individuelle","non","","",59
"111",6,25,"nkundu","aucune","agriculture","chasse","autre",34,"autre","non","","","oui","nuit","individuelle","non","","",NA,"jour","individuelle","non","","",25
"112",6,27,"nkundu","secondaire","peche","chasse","autre",8,"petitsmoyensongules_grandsongules","non","","","oui","nuit","individuelle_collective","non","","",NA,"","","non","","",27
"113",6,27,"nkundu","secondaire","chasse","agriculture","autre",3,"petitsmoyensongules_rongeurs","non","","","oui","nuit","collective","non","","",NA,"jour","individuelle","non","","",27
"114",6,56,"nkundu","secondaire","autre","chasse","agriculture",25,"autre","oui","jour","individuelle","non","","","oui","jour","50%",NA,"","","non","","",56
"115",6,13,"nkundu","secondaire","agriculture","chasse","peche",15,"rongeurs_reptiles_pangolins","non","","","oui","nuit","individuelle","oui","journuit","50%",NA,"jour","individuelle","non","","",43
"116",6,41,"nkundu","secondaire","agriculture","chasse","autre",25,"autre_petitsmoyensongules_grandsongules_sangliers_rongeurs_reptiles_oiseaux","non","","","oui","jour","individuelle","oui","jour","50%",NA,"jour","individuelle","non","","",45
"117",6,21,"nkundu","secondaire","chasse","peche","agriculture",15,"rongeurs","non","","","oui","journuit","individuelle","oui","journuit","50%",NA,"jour","individuelle","non","","",21
"118",6,65,"nkundu","primaire","agriculture","chasse","autre",12,"autre","oui","jour","individuelle","oui","jour","individuelle","oui","jour","50%",NA,"jour","individuelle","non","","",65
"119",6,49,"nkundu","secondaire","agriculture","chasse","autre",13,"autre","non","","","oui","jour","individuelle","oui","jour","50%",NA,"jour","individuelle","non","","",49
"120",4,19,"nkundu","secondaire","commerce","agriculture","chasse",10,"petitsmoyensongules_rongeurs","non","","","non","","","non","","",NA,"jour","individuelle","non","","",19
"121",6,32,"nkundu","secondaire","agriculture","chasse","autre",18,"petitsmoyensongules_grandsongules_sangliers_rongeurs","non","","","non","","","oui","jour","50%",NA,"jour","individuelle","non","","",32
"122",4,8,"nkundu","primaire","agriculture","autre","chasse",27,"autre","oui","journuit","individuelle","oui","nuit","collective","non","","",NA,"journuit","individuelle","non","","",23
"123",4,63,"nkundu","primaire","chasse","peche","agriculture",15,"petitsmoyensongules_grandsongules_autre","oui","journuit","individuelle","oui","jour","individuelle","non","","",NA,"jour","individuelle","non","","",63
"124",6,18,"nkundu","secondaire","agriculture","chasse","peche",12,"autre","oui","journuit","individuelle","oui","nuit","individuelle","oui","journuit","50%",NA,"jour","individuelle","non","","",18
"125",4,6,"nkundu","primaire","agriculture","chasse","peche",23,"autre","oui","journuit","individuelle_collective","non","","","non","","",NA,"jour","individuelle","non","","",23
"126",4,23,"nkundu","primaire","chasse","peche","autre",4,"grandsongules_petitsmoyensongules","non","","","oui","nuit","collective","non","","",NA,"jour","individuelle","non","","",23
"127",4,34,"nkundu","secondaire","agriculture","peche","chasse",14,"petitsmoyensongules_grandsongules_sangliers_singes_rongeurs_pangolins_reptiles","non","","","oui","nuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",34
"128",4,34,"nkundu","primaire","agriculture","chasse","autre",20,"rongeurs_petitsmoyensongules","non","","","oui","jour","individuelle","oui","jour","50%",NA,"jour","individuelle","non","","",34
"129",4,43,"nkundu","secondaire","agriculture","peche","chasse",15,"autre","oui","journuit","individuelle","oui","journuit","individuelle","oui","journuit","50%",NA,"jour","individuelle","non","","",50
"130",4,19,"nkundu","secondaire","agriculture","peche","chasse",18,"petitsmoyensongules_rongeurs","non","","","oui","jour","individuelle","oui","jour","50%",NA,"jour","individuelle","non","","",19
"131",4,41,"nkundu","primaire","agriculture","chasse","autre",19,"petitsmoyensongules_grandsongules_sangliers_rongeurs","non","","","oui","jour","individuelle","oui","jour","50%",NA,"jour","individuelle","non","","",75
"132",3,28,"nkundu","secondaire","chasse","agriculture","peche",16,"petitsmoyensongules_grandsongules_singes_rongeurs","oui","jour","collective","oui","journuit","collective","non","","",NA,"","","oui","jour","individuelle",28
"133",1,30,"nkundu","secondaire","chasse","peche","agriculture",20,"petitsmoyensongules_grandsongules_rongeurs_oiseaux_sangliers","non","","","oui","nuit","individuelle","non","","",NA,"jour","individuelle","non","","",30
"134",3,19,"nkundu","aucune","chasse","peche","autre",3,"petitsmoyensongules_grandsongules_rongeurs","non","","","oui","journuit","collective","non","","",NA,"","","non","","",23
"135",3,35,"nkundu","secondaire","salarie","chasse","agriculture",9,"grandsongules_rongeurs","non","","","oui","jour","individuelle","non","","",NA,"jour","individuelle","non","","",35
"136",2,27,"nkundu","secondaire","agriculture","chasse","peche",25,"petitsmoyensongules_sangliers","non","","","oui","nuit","collective","non","","",NA,"","","non","","",51
"137",2,20,"nkundu","secondaire","agriculture","chasse","commerce",17,"rongeurs_petitsmoyensongules","non","","","oui","jour","individuelle","non","","",NA,"","","non","","",53
"138",2,23,"nkundu","secondaire","agriculture","chasse","peche",14,"rongeurs_petitsmoyensongules","oui","journuit","individuelle","oui","nuit","individuelle","non","","",NA,"jour","individuelle","non","","",33
"139",4,30,"nkundu","secondaire","agriculture","autre","chasse",15,"petitsmoyensongules_sangliers_rongeurs_reptiles","non","","","oui","jour","individuelle","non","","",NA,"jour","individuelle","non","","",49
"140",6,8,"nkundu","secondaire","agriculture","chasse","autre",30,"sangliers_petitsmoyensongules_rongeurs_singes","oui","jour","individuelle","oui","jour","individuelle","non","","",NA,"jour","individuelle","non","","",51
"141",6,30,"nkundu","secondaire","agriculture","chasse","peche",11,"petitsmoyensongules_sangliers_singes_rongeurs_reptiles","oui","journuit","individuelle","oui","journuit","individuelle","non","","",NA,"journuit","individuelle","non","","",37
"142",6,40,"nkundu","secondaire","agriculture","chasse","autre",63,"petitsmoyensongules_sangliers_singes_rongeurs_reptiles","oui","jour","individuelle","oui","jour","individuelle","non","","",NA,"jour","individuelle","non","","",40
"143",2,25,"nkundu","secondaire","chasse","agriculture","peche",15,"petitsmoyensongules_sangliers_rongeurs_reptiles","non","","","oui","journuit","individuelle","non","","",NA,"journuit","individuelle","non","","",28
"144",2,17,"nkundu","secondaire","chasse","peche","agriculture",5,"petitsmoyensongules_rongeurs_reptiles_sangliers","non","","","oui","journuit","individuelle","non","","",NA,"journuit","individuelle","non","","",21
